date,open,high,low,close
2020-05-16 05:10:00+09:00,1008689,1009425,1007020,1008136
2020-05-16 05:15:00+09:00,1007996,1011849,1006078,1011017
2020-05-16 05:20:00+09:00,1011017,1013136,1008162,1008442
2020-05-16 05:25:00+09:00,1008456,1010570,1007070,1010419
2020-05-16 05:30:00+09:00,1010419,1010642,1007040,1007570
2020-05-16 05:35:00+09:00,1007450,1008945,1006042,1008486
2020-05-16 05:40:00+09:00,1008634,1008738,983588,990891
2020-05-16 05:45:00+09:00,990891,995344,986375,991694
2020-05-16 05:50:00+09:00,991694,997479,988560,995799
2020-05-16 05:55:00+09:00,996266,997094,992975,995646
2020-05-16 06:00:00+09:00,995418,995645,991686,994994
2020-05-16 06:05:00+09:00,995026,999303,991948,996467
2020-05-16 06:10:00+09:00,996453,998552,994323,995325
2020-05-16 06:15:00+09:00,995402,995402,990591,990849
2020-05-16 06:20:00+09:00,990953,996354,990618,995008
2020-05-16 06:25:00+09:00,995008,1004970,994210,1001644
2020-05-16 06:30:00+09:00,1001644,1013994,1001544,1009640
2020-05-16 06:35:00+09:00,1009640,1013020,1007547,1009886
2020-05-16 06:40:00+09:00,1009886,1012197,1007014,1010477
2020-05-16 06:45:00+09:00,1011079,1012174,1008459,1011532
2020-05-16 06:50:00+09:00,1011568,1011682,1009426,1010000
2020-05-16 06:55:00+09:00,1010057,1014673,1010000,1014194
2020-05-16 07:00:00+09:00,1014385,1018447,1013457,1014565
2020-05-16 07:05:00+09:00,1014565,1016708,1012277,1012606
2020-05-16 07:10:00+09:00,1012595,1014443,1011953,1013422
2020-05-16 07:15:00+09:00,1013432,1013711,1011451,1011602
2020-05-16 07:20:00+09:00,1011602,1014906,1011441,1013586
2020-05-16 07:25:00+09:00,1013586,1016530,1013406,1016058
2020-05-16 07:30:00+09:00,1016187,1022365,1015724,1022365
2020-05-16 07:35:00+09:00,1020723,1023244,1017610,1017808
2020-05-16 07:40:00+09:00,1017808,1022054,1017771,1021475
2020-05-16 07:45:00+09:00,1021461,1022500,1018878,1019194
2020-05-16 07:50:00+09:00,1019156,1019931,1015167,1016290
2020-05-16 07:55:00+09:00,1016323,1016880,1010450,1011488
2020-05-16 08:00:00+09:00,1011488,1012390,1007620,1009339
2020-05-16 08:05:00+09:00,1009708,1012980,1009616,1010258
2020-05-16 08:10:00+09:00,1010243,1011817,1007107,1007862
2020-05-16 08:15:00+09:00,1007624,1009653,1006154,1009341
2020-05-16 08:20:00+09:00,1009354,1009635,1005995,1008796
2020-05-16 08:25:00+09:00,1007920,1011994,1007733,1011519
2020-05-16 08:30:00+09:00,1011531,1011716,1008769,1008769
2020-05-16 08:35:00+09:00,1008769,1011834,1008621,1010627
2020-05-16 08:40:00+09:00,1010628,1010874,1008116,1008629
2020-05-16 08:45:00+09:00,1008633,1010035,1001301,1003300
2020-05-16 08:50:00+09:00,1003466,1003869,994908,1003043
2020-05-16 08:55:00+09:00,1002696,1004849,1000874,1001751
2020-05-16 09:00:00+09:00,1001815,1004145,998120,1003046
2020-05-16 09:05:00+09:00,1003046,1005648,997086,999252
2020-05-16 09:10:00+09:00,999206,1001628,991250,997066
2020-05-16 09:15:00+09:00,997047,997066,991957,995440
2020-05-16 09:20:00+09:00,995440,999573,993652,999295
2020-05-16 09:25:00+09:00,999273,1000600,995822,997673
2020-05-16 09:30:00+09:00,997743,1000514,997578,999066
2020-05-16 09:35:00+09:00,998925,1008511,998091,1006461
2020-05-16 09:40:00+09:00,1006461,1011670,1006151,1011289
2020-05-16 09:45:00+09:00,1011289,1011527,1006878,1007095
2020-05-16 09:50:00+09:00,1007095,1009155,1006932,1007897
2020-05-16 09:55:00+09:00,1007877,1012135,1007565,1010661
2020-05-16 10:00:00+09:00,1010810,1011831,1007569,1011334
2020-05-16 10:05:00+09:00,1011040,1016837,1011025,1011246
2020-05-16 10:10:00+09:00,1011316,1012957,1009759,1011095
2020-05-16 10:15:00+09:00,1011158,1011895,1008810,1010371
2020-05-16 10:20:00+09:00,1010371,1011332,1009243,1009868
2020-05-16 10:25:00+09:00,1009969,1014500,1009818,1013306
2020-05-16 10:30:00+09:00,1013537,1014390,1010592,1011285
2020-05-16 10:35:00+09:00,1011285,1011882,1009300,1009622
2020-05-16 10:40:00+09:00,1009622,1010093,1008289,1009258
2020-05-16 10:45:00+09:00,1009258,1016991,1008477,1016414
2020-05-16 10:50:00+09:00,1016356,1018099,1013570,1014074
2020-05-16 10:55:00+09:00,1014074,1014755,1012286,1013879
2020-05-16 11:00:00+09:00,1013879,1015610,1012619,1013324
2020-05-16 11:05:00+09:00,1013322,1016268,1013007,1015968
2020-05-16 11:10:00+09:00,1015943,1017267,1013009,1013183
2020-05-16 11:15:00+09:00,1013183,1013805,1010361,1010850
2020-05-16 11:20:00+09:00,1010850,1013568,1010198,1011691
2020-05-16 11:25:00+09:00,1011685,1012802,1010445,1011583
2020-05-16 11:30:00+09:00,1011552,1013817,1010862,1013500
2020-05-16 11:35:00+09:00,1013500,1015353,1013228,1013865
2020-05-16 11:40:00+09:00,1013785,1015555,1013482,1015309
2020-05-16 11:45:00+09:00,1015284,1020529,1015190,1019439
2020-05-16 11:50:00+09:00,1019388,1020428,1018084,1018512
2020-05-16 11:55:00+09:00,1018434,1019994,1018123,1018595
2020-05-16 12:00:00+09:00,1018558,1018882,1016787,1017655
2020-05-16 12:05:00+09:00,1017750,1019510,1016596,1017476
2020-05-16 12:10:00+09:00,1017479,1017633,1015585,1016448
2020-05-16 12:15:00+09:00,1016448,1017377,1015857,1016733
2020-05-16 12:20:00+09:00,1016663,1017000,1013632,1014164
2020-05-16 12:25:00+09:00,1014133,1014882,1013206,1014324
2020-05-16 12:30:00+09:00,1014304,1014450,1013198,1013524
2020-05-16 12:35:00+09:00,1013471,1013471,1008419,1011244
2020-05-16 12:40:00+09:00,1011324,1013849,1010243,1013549
2020-05-16 12:45:00+09:00,1013588,1015730,1013263,1015474
2020-05-16 12:50:00+09:00,1015265,1017508,1014900,1016166
2020-05-16 12:55:00+09:00,1016166,1016507,1014777,1016259
2020-05-16 13:00:00+09:00,1016681,1016773,1013989,1014258
2020-05-16 13:05:00+09:00,1014309,1018830,1012889,1017975
2020-05-16 13:10:00+09:00,1017960,1021714,1017824,1020771
2020-05-16 13:15:00+09:00,1020771,1022740,1019587,1020044
2020-05-16 13:20:00+09:00,1020097,1021845,1019517,1020996
2020-05-16 13:25:00+09:00,1021002,1022267,1017478,1018244
2020-05-16 13:30:00+09:00,1018145,1018929,1016732,1017820
2020-05-16 13:35:00+09:00,1017820,1018811,1017357,1017954
2020-05-16 13:40:00+09:00,1017963,1019459,1016756,1019027
2020-05-16 13:45:00+09:00,1018956,1020423,1018704,1019638
2020-05-16 13:50:00+09:00,1019625,1020900,1019500,1020900
2020-05-16 13:55:00+09:00,1020900,1024264,1020682,1022063
2020-05-16 14:00:00+09:00,1021938,1026000,1021938,1025100
2020-05-16 14:05:00+09:00,1025104,1026829,1022774,1023216
2020-05-16 14:10:00+09:00,1023268,1024571,1023029,1023061
2020-05-16 14:15:00+09:00,1023069,1029507,1023028,1028845
2020-05-16 14:20:00+09:00,1029005,1034112,1028080,1031537
2020-05-16 14:25:00+09:00,1031537,1034600,1030257,1032169
2020-05-16 14:30:00+09:00,1032035,1032298,1029025,1031359
2020-05-16 14:35:00+09:00,1031392,1033000,1026098,1027927
2020-05-16 14:40:00+09:00,1028035,1028461,1020868,1024042
2020-05-16 14:45:00+09:00,1024072,1024943,1022150,1024152
2020-05-16 14:50:00+09:00,1024174,1025322,1021658,1022506
2020-05-16 14:55:00+09:00,1022506,1023000,1019183,1021671
2020-05-16 15:00:00+09:00,1021644,1023112,1020049,1021322
2020-05-16 15:05:00+09:00,1021349,1023791,1018216,1019700
2020-05-16 15:10:00+09:00,1019698,1021583,1019306,1020913
2020-05-16 15:15:00+09:00,1020974,1022004,1019354,1019394
2020-05-16 15:20:00+09:00,1019394,1019733,1015345,1017510
2020-05-16 15:25:00+09:00,1017720,1019919,1017151,1018529
2020-05-16 15:30:00+09:00,1018529,1022233,1018230,1021425
2020-05-16 15:35:00+09:00,1021443,1022797,1020922,1021816
2020-05-16 15:40:00+09:00,1022020,1022500,1020269,1020584
2020-05-16 15:45:00+09:00,1020455,1020748,1019000,1020389
2020-05-16 15:50:00+09:00,1020379,1021868,1019745,1021236
